Make,Model,Price,Make_Year,CC,Assembly,Mileage,Registered City,Transmission
61,96,1750000,2009,1300,1,0.11499922999845999,66,0
25,86,2125000,2015,1300,1,0.08199916399832799,97,0
14,106,880000,2012,800,1,0.071999143998288,80,0
37,268,6800000,2009,3500,0,0.09092018184036368,66,1
18,370,840000,2017,1000,1,0.12999925999851997,97,0
61,259,2970000,2014,1800,0,0.14799929599859196,66,1
14,216,1430000,2013,660,0,0.103999207998416,80,1
42,50,7800000,2014,1800,1,0.05999911999823999,66,1
59,210,480000,2007,800,1,0.04499908999817999,66,0
59,195,690000,2006,1300,1,0.14999929999859998,80,0
59,364,1400000,2011,660,0,0.14464928929857856,97,1
59,105,1230000,2015,1000,1,0.05599911199822399,97,0
25,87,1525000,2006,1800,1,0.27799955599911197,97,0
25,23,1600000,2003,2400,0,0.11599923199846399,80,1
6,19,900000,2021,1000,1,0.0,66,1
25,87,2250000,2012,1800,1,0.05199910399820799,80,1
59,364,1585000,2018,1000,1,0.04199908399816799,97,0
25,87,3350000,2016,1800,1,0.063999127998256,97,1
61,32,3275000,2018,1500,0,0.021999043998087994,180,1
61,243,2350000,2017,1000,0,0.027499054998109992,97,1
43,217,1560000,2012,1000,0,0.08999917999835999,97,1
14,216,1250000,2012,660,0,0.06999913999828,97,1
61,193,16500000,2008,4600,0,0.131999263998528,97,1
43,240,1625000,2012,660,0,0.07999915999832,97,1
14,106,915000,2012,800,1,0.071999143998288,80,1
61,207,3000000,2005,2500,0,0.10499920999842,97,1
25,87,1350000,2005,1600,1,0.17999935999871997,97,1
25,87,2650000,2014,1800,1,0.08499916999834,97,1
44,109,1980000,2017,660,0,0.02699905399810799,180,1
25,358,4225000,2016,1500,0,0.024999049998099994,66,1
61,259,2500000,2011,1800,1,0.12599925199850398,97,1
61,255,6000000,2003,3000,0,0.14999929999859998,80,1
25,87,2650000,2014,1800,1,0.17499934999869998,97,1
25,87,1789999,2011,1800,1,0.07399914799829599,80,1
61,362,1300000,2000,660,0,0.08499916999834,119,1
61,96,2490000,2016,1300,1,0.07799915599831199,97,1
25,45,3060000,2018,1500,1,0.04119908239816479,80,1
59,105,700000,2008,1000,1,0.17099934199868397,119,0
25,87,950000,1998,1500,1,0.021999043998087994,97,1
61,141,9200000,2020,2700,1,0.009999019998039996,97,1
25,226,1775000,2015,660,0,0.05199910399820799,97,1
59,31,1610000,2018,660,0,0.023999047998095994,180,1
59,210,1085000,2018,800,1,0.025999051998103994,97,0
61,96,3150000,2019,1300,1,0.04999909999819999,97,0
61,96,2995000,2018,1300,1,0.013699027398054795,66,0
61,362,2685000,2017,1000,0,0.07249914499829,180,1
14,335,1380000,2008,660,0,0.08999917999835999,80,1
14,221,2345000,2017,660,1,0.04129908259816519,180,1
27,346,6450000,2021,2000,1,0.0005990011980023959,66,1
61,163,1725000,2021,2800,1,2.0000040000079998e-05,180,1
25,87,1230000,2005,1500,1,0.13699927399854797,43,1
61,96,1725000,2021,1600,1,2.0000040000079998e-05,180,1
61,362,2475000,2017,1000,0,0.018999037998075993,97,1
25,87,3890000,2018,1800,1,0.017999035998071993,97,1
61,362,2495000,2017,1000,0,0.05799911599823199,180,1
25,226,2450000,2019,660,0,0.02053504107008214,180,1
59,105,500000,2004,1000,1,0.0999991999984,97,0
1,14,7000000,2017,1200,0,0.0749991499983,97,1
59,105,670000,2006,1000,1,2.7000054000107997e-05,97,0
61,32,2250000,2013,1500,0,0.0999991999984,66,1
59,277,850000,2017,800,1,0.000699001398002796,43,0
59,195,595000,2006,1300,1,0.1249992499985,134,0
59,31,1590000,2020,660,1,0.012999025998051996,66,0
59,105,2050000,2019,1000,1,0.03399906799813599,43,1
